ingreso_Max_Sum;retiro_Max_Sum;suspension_temporal_Max_Sum;incapacidas_por_trabajo_Max_Sum;vacaciones_Max_Sum;cot_obligatoria_salud_Max_Sum;cot_obligatoria_salud_Max_Count;aporte_cot_obligatoria_pension_Max_Sum;aporte_cot_obligatoria_pension_Max_Count;variacion_transitoria_salario_Max_Sum;variacion_permanente_salario_Max_Sum;licencia_maternidad_Max_Sum;cot_obligatoria_arl_Max_Sum;cot_obligatoria_arl_Max_Count;valor_aportes_ccf_Max_Sum;valor_aportes_ccf_Max_Count;valor_aportes_parafiscales_sena_Max_Sum;valor_aportes_parafiscales_sena_Max_Count;valor_aportes_parafiscales_icbf_Max_Sum;valor_aportes_parafiscales_icbf_Max_Count;Tipologia;Edad_fin;Sexo_fin;YEAR;MONTH;Contribuye_salud_Sum;Contribuye_pension_Sum;Contribuye_arl_Sum;Contribuye_ccf_Sum;Contribuye_sena_Sum;Contribuye_icbf_Sum;Total_relaciones_laborales
1576;2587;62;20;8;1543486300;16254;2106139300;16254;3789;164;217;378770100;16254;507537800;16254;121998200;16254;304893000;16254;"Dep_No_priv";26;"M";2018;5;9256;6912;14134;6568;4565;4900;16254
1474;3020;59;17;5;1613065300;14889;2194209400;14889;3849;185;912;363798100;14889;577632000;14889;137659400;14889;356810000;14889;"Dep_No_priv";26;"M";2018;6;9319;6992;12678;6566;4572;4887;14889
8;11;2;0;1;30820700;160;16192000;160;20;1;4;4588700;160;14957000;160;4273000;160;6408500;160;"Dep_sec_priv";87;"M";2018;5;160;39;159;157;35;35;160
10;10;3;0;0;24056200;148;9626700;148;20;1;2;4394100;148;12439700;148;3353200;148;5029200;148;"Dep_sec_priv";87;"M";2018;8;148;34;147;145;30;30;148
5;12;1;0;0;23728300;150;8615500;150;17;2;6;4119700;150;12509000;150;3225300;150;4837200;150;"Dep_sec_priv";87;"M";2018;7;150;36;148;147;28;28;150
7;12;2;0;0;27581800;156;12753300;156;19;0;6;4506200;156;14164200;156;3826200;156;5738700;156;"Dep_sec_priv";87;"M";2018;6;156;35;152;153;30;30;156
2;2;0;0;0;46628600;419;867000;419;3;1;0;403300;419;95900;419;0;419;0;419;"Independiente";92;"M";2018;6;414;5;20;5;0;0;419
2;0;0;0;0;46032900;414;930400;414;5;0;0;321900;414;95900;414;0;414;0;414;"Independiente";92;"M";2018;7;410;5;18;5;0;0;414
5;7;0;0;0;48563800;431;901000;431;3;0;0;443300;431;95900;431;0;431;0;431;"Independiente";92;"M";2018;5;426;5;22;5;0;0;431
1;4;0;0;0;32488800;279;1126000;279;0;0;0;310500;279;4700;279;0;279;0;279;"Independiente";94;"M";2018;5;275;7;15;1;0;0;279
2;1;0;0;0;44540100;332;210200;332;2;0;0;423700;332;27700;332;0;332;0;332;"Independiente";93;"M";2018;5;330;1;18;2;0;0;332
1;2;0;0;0;43754300;322;575400;322;3;0;0;493200;322;27700;322;0;322;0;322;"Independiente";93;"M";2018;6;320;2;18;2;0;0;322
1;0;0;0;0;40442300;314;575400;314;2;0;0;305300;314;27700;314;0;314;0;314;"Independiente";93;"M";2018;7;312;2;15;2;0;0;314
0;0;0;0;0;39044000;307;125000;307;3;0;0;249900;307;27700;307;0;307;0;307;"Independiente";93;"M";2018;8;305;1;13;2;0;0;307
3;3;0;0;0;783700;14;1284300;14;1;0;0;138900;14;347400;14;78900;14;118300;14;"Dep_sec_priv";101;"M";2018;8;14;9;14;14;2;2;14
2;4;0;0;0;711400;14;1490100;14;0;1;0;171800;14;361300;14;69400;14;104100;14;"Dep_sec_priv";101;"M";2018;7;14;11;14;14;5;5;14
1;3;1;0;0;2235300;21;3630700;21;6;0;0;384600;21;993400;21;271800;21;407600;21;"Dep_sec_priv";102;"M";2018;6;21;13;21;21;3;3;21
0;2;0;0;0;2110400;18;3095000;18;3;0;0;339200;18;895600;18;262800;18;394100;18;"Dep_sec_priv";102;"M";2018;8;18;10;18;18;3;3;18
5;0;0;0;0;2130400;20;3094800;20;3;0;0;301900;20;901800;20;261300;20;391900;20;"Dep_sec_priv";102;"M";2018;5;20;10;20;20;3;3;20
7;5;0;0;0;2163000;22;3187800;22;2;2;0;383900;22;976800;22;262800;22;394100;22;"Dep_sec_priv";102;"M";2018;7;21;12;22;21;3;3;22
13;10;2;0;0;26000900;129;14992500;129;16;1;1;5749200;129;13624500;129;4291300;129;6412800;129;"Dep_sec_priv";89;"M";2018;5;129;43;128;128;23;22;129
11;8;1;0;0;26443400;126;17342400;126;14;3;2;6155400;126;13346800;126;4278400;126;6486200;126;"Dep_sec_priv";89;"M";2018;7;126;45;124;125;23;23;126
14;4;0;0;0;25730300;126;15357000;126;17;3;3;4658800;126;11436300;126;3547800;126;5390300;126;"Dep_sec_priv";89;"M";2018;8;126;44;123;124;24;24;126
12;8;0;1;0;25167700;126;15149300;126;13;3;4;5273700;126;12912100;126;4084700;126;6149100;126;"Dep_sec_priv";89;"M";2018;6;126;44;124;125;23;23;126
7;8;0;0;0;165280200;1438;1657800;1438;5;2;0;1357800;1438;228400;1438;0;1438;0;1438;"Independiente";86;"M";2018;7;1431;8;58;15;0;0;1438
7;4;0;0;0;166326300;1450;1723700;1450;4;1;0;1213300;1450;227100;1450;0;1450;0;1450;"Independiente";86;"M";2018;6;1443;8;59;15;0;0;1450
16;11;0;0;0;167296100;1465;1973700;1465;4;1;0;1289600;1465;231800;1465;0;1465;0;1465;"Independiente";86;"M";2018;5;1459;10;60;16;0;0;1465
